"Source:","C:\Users\esamp\Documents\SinESC\Multi Edition\1.0A\SinESC-Multi-1.0A\SinESC-Multi-1.0A.sch"
"Date:","9/1/2020 2:02:44 AM"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer Part #","Voltage Rating"
"","","C1","100nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","C0603X5R1E104K030BB","25V"
"","","C2","100nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","C0603X5R1E104K030BB","25V"
"","","C3","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C4","100nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","C0603X5R1E104K030BB","25V"
"","","C5","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C6","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C7","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C8","100nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","C0603X5R1E104K030BB","25V"
"","","C9","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C10","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C11","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C12","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C13","10µF","Device:C","Capacitor_SMD:C_0603_1608Metric","","C1608X5R1E106M080AC","25V"
"","","C14","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C15","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C16","6.8nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","GRM033R71E682KE14D","25V"
"","","C17","100nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","C0603X5R1E104K030BB","25V"
"","","C18","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C19","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C20","100nF","Device:C","Capacitor_SMD:C_0201_0603Metric","","C0603X5R1E104K030BB","25V"
"","","C21","22nF","Device:C","Capacitor_SMD:C_0603_1608Metric","","C1608X7R2A223K080AA","100V"
"","","C22","10µF","Device:C","Capacitor_SMD:C_0603_1608Metric","","C1608X5R1E106M080AC","25V"
"","","C23","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C24","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C25","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C26","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C27","100nF","Device:C","Capacitor_SMD:C_0402_1005Metric","","C1005X7R1H104K050BB","50V"
"","","C28","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","UMK105CBJ105MV-F",""
"","","C29","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","UMK105CBJ105MV-F",""
"","","C30","100nF","Device:C","Capacitor_SMD:C_0201_0603Metric","~","C0603X5R1E104K030BB",""
"","","C31","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C32","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C33","1µF","Device:C","Capacitor_SMD:C_0402_1005Metric","","UMK105CBJ105MV-F","50V"
"","","C34","10µF","Device:C","Capacitor_SMD:C_0603_1608Metric","~","C1608X5R1E106M080AC",""
"","","C35","10µF","Device:C","Capacitor_SMD:C_0603_1608Metric","~","C1608X5R1E106M080AC",""
"","","D1","BAT30KFILM","Device:D","Diode_SMD:D_SOD-523","","BAT30KFILM","-"
"","","J1","Pad_3x2mm","Connector:Conn_01x01_Female","Pads:Pad_3x2mm","","-","-"
"","","J2","Pad_3x2mm","Connector:Conn_01x01_Female","Pads:Pad_3x2mm","","-","-"
"","","J3","Pad_3x2mm","Connector:Conn_01x01_Female","Pads:Pad_3x2mm","","-","-"
"","","J4","Pad_3x2mm","Connector:Conn_01x01_Female","Pads:Pad_3x2mm","","-","-"
"","","J5","Pad_3x2mm","Connector:Conn_01x01_Female","Pads:Pad_3x2mm","","-","-"
"","","J6","Pad_1.5mm_Square","Connector:Conn_01x01_Female","Pads:Pad_1.5mm_Square","","-","-"
"","","L1","10µH","Device:L","Inductor_SMD:L_1210_3225Metric","~","CBC3225T100KR",""
"","","Q1","BSC010N04LSI","Transistor_FET:BSC026N08NS5","Package_TO_SOT_SMD:TDSON-8-1","","BSC010N04LSIATMA1","-"
"","","Q2","BSC010N04LSI","Transistor_FET:BSC026N08NS5","Package_TO_SOT_SMD:TDSON-8-1","","BSC010N04LSIATMA1","-"
"","","Q3","BSC010N04LSI","Transistor_FET:BSC026N08NS5","Package_TO_SOT_SMD:TDSON-8-1","","BSC010N04LSIATMA1","-"
"","","Q4","BSC010N04LSI","Transistor_FET:BSC026N08NS5","Package_TO_SOT_SMD:TDSON-8-1","","BSC010N04LSIATMA1","-"
"","","Q5","BSC010N04LSI","Transistor_FET:BSC026N08NS5","Package_TO_SOT_SMD:TDSON-8-1","","BSC010N04LSIATMA1","-"
"","","Q6","BSC010N04LSI","Transistor_FET:BSC026N08NS5","Package_TO_SOT_SMD:TDSON-8-1","","BSC010N04LSIATMA1","-"
"","","R1","86.6Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF86R6C","-"
"","","R2","1.5kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1501C","-"
"","","R3","1mΩ","Device:R_US","Resistor_SMD:R_1206_3216Metric","","CSR1206-0R001F1","-"
"","","R4","5.1kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF5101C","-"
"","","R5","976Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF9760C","-"
"","","R6","1.5kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1501C","-"
"","","R7","1mΩ","Device:R_US","Resistor_SMD:R_1206_3216Metric","","CSR1206-0R001F1","-"
"","","R8","15kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1502C","-"
"","","R9","470Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF4700C","-"
"","","R10","86.6Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF86R6C","-"
"","","R11","1.5kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1501C","-"
"","","R12","1mΩ","Device:R_US","Resistor_SMD:R_1206_3216Metric","","CSR1206-0R001F1","-"
"","","R13","5.1kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF5101C","-"
"","","R14","976Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF9760C","-"
"","","R15","120kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1203C","-"
"","","R16","15kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1502C","-"
"","","R17","15kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1502C","-"
"","","R18","470Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF4700C","-"
"","","R19","86.6Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF86R6C","-"
"","","R20","5.1kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF5101C","-"
"","","R21","976Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF9760C","-"
"","","R22","15kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1502C","-"
"","","R23","470Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF4700C","-"
